"from_node","to_node","lcp_length_m","lcp_cost"
10147,10240,579.411254969543,9726.56453323364
9866,10166,2849.4826817189,229900.633945465
10168,10206,914.558441227157,21973.012424469
10056,10170,1032.42640687119,26981.3633079529
10192,10309,709.705627484771,13211.5916786194
10200,10245,826.690475583121,19490.4481544495
10209,10359,986.98484809835,25677.4798622131
10226,10285,1090.66017177982,35425.274684906
10235,10276,569.116882454314,9699.45223236084
10255,10507,1306.69047558312,45385.3752479553
10202,10293,2155.21861300698,131821.859592438
10305,10363,1823.9696961967,87332.3169288635
10315,10418,864.852813742386,19064.2743415833
10325,10366,2082.42640687119,109003.341396332
10327,10469,1387.27922061358,48818.2183876038
10040,10348,3283.15800540037,313753.896579742
10351,10359,1737.35064736294,89245.0264778137
10327,10366,1579.70562748477,63292.3138771057
10309,10400,1101.83766184074,32283.6940956116
10401,10410,804.852813742386,16544.8042488098
10426,10497,1183.67532368147,40375.6048927307
10426,10437,1214.55844122716,38040.7999305725
10465,10610,1418.52813742386,57230.2004127502
10469,10659,1059.41125496954,29673.7850074768
10479,10626,1442.49783362056,62273.4094619751
10507,10535,971.543289325507,26830.4830055237
10516,10678,2476.17315730202,180987.089725494
10528,10720,1466.98484809835,55284.1740760803
10410,10530,1887.35064736294,104644.041568756
10534,10663,731.543289325507,15833.4974403381
10538,10659,1845.80735803743,94829.6086158752
10400,10546,1473.38095116624,62192.1749610901
10550,10957,1070.95454429505,33970.94739151
10560,10835,1667.9393923934,80777.4730873108
10565,10679,1062.42640687119,28556.0983543396
10293,10572,3086.46752981725,272538.850254059
10603,10671,720,13461.67578125
10607,10663,1500.36579926459,66344.8179969788
10610,10715,846.396103067893,21134.0335884094
10565,10611,1301.54328932551,45873.5191383362
10617,10726,989.116882454314,27426.0087013245
10276,10655,4577.4220741123,595637.367710114
10659,10710,782.132034355964,16114.7516212463
10671,10715,574.264068711929,9798.65240859985
10678,10910,1110,31540.1448059082
10685,10978,1093.67532368147,34846.8462562561
10717,10720,1094.55844122716,31073.6850013733
10732,10799,1553.9696961967,64445.3000831604
10560,10742,1720.66017177982,84336.7444190979
10746,10921,1383.38095116624,55321.1627845764
10685,10750,1495.21861300698,66188.7003822327
10710,10776,866.98484809835,20075.8061256409
10626,10777,2697.35064736294,203808.433872223
10783,11012,2219.11688245431,126519.585483551
10799,10808,457.279220613579,5618.65484237671
10776,10834,1473.38095116624,62192.1749610901
10835,10881,634.264068711929,11801.8378944397
10838,10890,866.101730552664,22322.6055374146
10107,10848,7127.9393923934,1285946.82291031
10849,10875,487.279220613579,6342.41935348511
10710,10868,1064.55844122716,29444.0971412659
10870,11193,4286.83332908184,534240.250278473
10305,10878,6279.62553521762,1138039.99991226
10896,10976,1024.26406871193,28473.4987220764
10921,10927,763.675323681471,17700.0616836548
10933,10994,1186.69047558312,37865.4677467346
10936,10976,916.690475583121,23562.3492164612
10941,11548,471.837661840736,6680.25745010376
10969,11074,842.132034355964,18646.7443733215
10834,10970,2114.92424049175,129358.122959137
10977,11160,1870.66017177982,98400.1581764221
10978,11087,882.426406871193,19759.5256919861
11012,11096,883.675323681471,23223.4374427795
11034,11055,452.132034355964,5822.64860916138
11040,11156,2381.9090885901,165126.65329361
11045,11214,1909.70562748477,92191.572971344
11047,11156,948.822509939086,26356.1651954651
11050,11151,1286.10173055266,47411.2868690491
11055,11074,360,3503.08889770508
11087,11096,450,5362.73559570312
11093,11105,743.9696961967,16445.2758674622
11102,11224,1859.48268171891,102391.138553619
11113,11151,676.690475583121,13462.3650398254
11121,11203,1218.82250993909,41917.5246315002
11087,11128,1623.38095116624,74382.6019630432
10994,11152,2204.92424049175,139821.805942535
11160,11212,836.101730552664,20889.0356712341
11171,11580,1311.83766184074,45027.9814796448
11174,11203,896.98484809835,21415.3049354553
11193,11288,3032.49783362055,250446.665561676
11194,11238,729.411254969543,14822.0042915344
11214,11323,1687.27922061358,71976.8176307678
11215,11245,1053.38095116624,32960.2681922913
11216,11236,1058.52813742386,33102.5086250305
11194,11234,1414.26406871193,52370.6969947815
11235,11312,1250.95454429505,45598.1187171936
11245,11317,899.116882454314,23013.3850440979
11203,11254,973.675323681471,27993.8822212219
11261,11330,983.9696961967,27745.8607521057
11270,11352,1862.49783362055,101524.010349274
11276,11358,744.852813742386,14205.3341560364
11282,11354,936.396103067893,25539.293888092
11286,11349,1148.52813742386,38634.6530799866
11297,11387,1913.08657865101,103139.079624176
11261,11308,1338.82250993908,49814.1068458557
11323,11448,1011.83766184074,27501.0053443909
11216,11326,2441.02597104441,176249.60326004
11330,11379,751.248916810279,16892.1502952576
11336,11498,854.558441227157,19299.4547767639
11330,11345,2114.55844122716,113244.163639069
11359,11410,386.98484809835,4509.51266098022
11387,11501,1598.52813742386,71290.7284889221
11442,11571,1490.07142674936,65818.7086830139
11349,11453,1712.49783362056,86488.9323768616
11466,11523,434.558441227157,5536.13076400757
11479,11571,672.426406871193,11548.217754364
11410,11480,856.690475583121,20807.6045570374
11501,11632,1119.41125496954,32961.901096344
10941,11510,3096.39610306789,244764.958652496
11522,11752,2344.62986797652,158944.241611481
11466,11540,931.248916810279,25606.2641181946
11549,11603,1160.95454429505,39619.1432533264
11553,11632,872.132034355964,19857.6615943909
11565,11614,512.132034355964,7288.96727371216
11587,11614,858.822509939086,21838.0592079163
11352,11597,2592.79220613578,184250.623325348
11598,11834,2152.20346110533,134928.804904938
11610,11787,1547.9393923934,70178.6701698303
11617,11761,1486.69047558312,58015.2360877991
11523,11624,919.705627484771,21833.324344635
